feature_name,type,n_bins,importance,max_score,min_score,mean_ci_width
cp,num,4,0.2117343738337422,0.488385184977695,-0.4033840359403926,0.17533857129171537
chol,num,200,0.20789136366236435,0.6356952873731875,-0.894715845338239,0.18424535862059638
oldpeak,num,52,0.1895498618870458,1.4141351914049602,-1.0753647742641421,0.31319161851862193
exang,num,2,0.15960356605043807,0.23492019026649097,-0.42249904941463967,0.10879845383250197
sex,num,2,0.14600686716100536,0.4431223443663644,-0.4011250962115077,0.1588383150421623
ca,num,4,0.13847989510802736,1.1848764936774043,-1.1725912800287213,0.30271289211543995
age,num,50,0.11743489940042255,0.8562873656397351,-0.4630714723948872,0.22287268698737803
thalach,num,115,0.10907663631098335,1.0399724394838719,-0.7057676607841379,0.2665666303745168
restecg,num,3,0.09865829642985376,0.5201846722789416,-0.2233005536360743,0.08818876103515172
thal,num,3,0.09827680008775012,0.26372607233754847,-0.3693115762791369,0.10149464766155204
slope,num,3,0.06227058302220541,0.2522457709737037,-0.23879462042376154,0.13860472503477209
fbs,num,2,0.05827011531188906,0.5228819613997182,-0.17599871974017434,0.1419119636133413
trestbps,num,58,0.027228048126780587,0.3018910666753341,-0.31786784133073487,0.13351816623753435
chol & slope,interaction,62,0.0,0.07961097269215782,-0.02904964383425967,0.02569670107312859
trestbps & oldpeak,interaction,50,0.0,0.038140259643648616,-0.03309133109567673,0.039753805317289476
trestbps & slope,interaction,50,0.0,0.0536841455005915,-0.03943109585789968,0.030668468581220146
trestbps & ca,interaction,50,0.0,0.046063649570899534,-0.06417029968846173,0.043139141999946715
chol & fbs,interaction,62,0.0,0.06277927067346709,-0.03679345379178629,0.03224802252150327
chol & restecg,interaction,62,0.0,0.03199353357110634,-0.054485797703862575,0.02801100869494789
chol & thalach,interaction,62,0.0,0.030973263560606763,-0.04357848520296349,0.031217068499694616
chol & oldpeak,interaction,62,0.0,0.026672831911922074,-0.027488010065548556,0.03381863962671456
thalach & ca,interaction,60,0.0,0.03142581867333797,-0.048787547435644285,0.03931687571885437
chol & ca,interaction,62,0.0,0.045254992619938414,-0.060630665690716484,0.03862761450998607
chol & thal,interaction,62,0.0,0.01745883192803131,-0.040762300020860155,0.023834366511989794
restecg & thalach,interaction,3,0.0,0.024883076158117624,-0.03308551840959538,0.03885495989890239
restecg & ca,interaction,3,0.0,0.04736809618091943,-0.10866613707849757,0.05730235260313421
thalach & oldpeak,interaction,60,0.0,0.03418596282923737,-0.0390182499202092,0.03920979870380028
trestbps & chol,interaction,50,0.0,0.015988377158971036,-0.022349366099955775,0.025572697194342294
thalach & thal,interaction,60,0.0,0.034730829652942025,-0.042537246901062815,0.029504685861644588
oldpeak & slope,interaction,48,0.0,0.04089186067125946,-0.050471366315855054,0.03853219764988733
oldpeak & ca,interaction,48,0.0,0.05345041868452695,-0.0665562855853572,0.0397495214254546
trestbps & thalach,interaction,50,0.0,0.030703299282600002,-0.04495561280102165,0.03344536702701306
cp & chol,interaction,4,0.0,0.04619214936548072,-0.07652881946677123,0.05070163929198603
cp & ca,interaction,4,0.0,0.10142516240503882,-0.08076587267978859,0.06550835168606325
age & oldpeak,interaction,45,0.0,0.04821456139995445,-0.048881735868253895,0.04563170833452669
age & sex,interaction,45,0.0,0.03655340867552473,-0.08324199955295333,0.03785414656561817
age & cp,interaction,45,0.0,0.05630568272372055,-0.055916392862890615,0.03521349395897006
age & trestbps,interaction,45,0.0,0.033337935730841976,-0.03837814464449516,0.03841543348710031
age & chol,interaction,45,0.0,0.04853601858912375,-0.04615268598796794,0.0403079892549402
age & restecg,interaction,45,0.0,0.04117722470968801,-0.038673496119842055,0.024621347066621658
age & thalach,interaction,45,0.0,0.032613413346900176,-0.043476403117857394,0.0384719828598975
age & exang,interaction,45,0.0,0.04125888806891754,-0.05167043247741235,0.022677775750229893
age & slope,interaction,45,0.0,0.025808254704320625,-0.03752436168614562,0.03214915642311001
cp & slope,interaction,4,0.0,0.03878415363442287,-0.04409597533087791,0.03873919494535199
age & ca,interaction,45,0.0,0.05965439210026652,-0.04110029549645313,0.046729701978721526
age & thal,interaction,45,0.0,0.06155968590184584,-0.06748078209437851,0.03513430664504264
sex & chol,interaction,2,0.0,0.030941800307337727,-0.062410174111662685,0.05965014465816447
cp & trestbps,interaction,4,0.0,0.026515109272954453,-0.06133940707310044,0.04699760896708965
cp & restecg,interaction,4,0.0,0.03434356697666238,-0.047190392642613946,0.036717704642311146
cp & thalach,interaction,4,0.0,0.0681247255414527,-0.07355648334601379,0.05694743621167788
cp & oldpeak,interaction,4,0.0,0.0556017154053232,-0.06283572140023946,0.054490706625741486
oldpeak & thal,interaction,48,0.0,0.04997720987506569,-0.03157026542932245,0.030368224090351913
